"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","MUSTARD - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>","MUSTARD - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>"
"SURVEY","2017","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","19,686,000",""
"SURVEY","2016","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","31,474,000",""
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","8,567,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","10,089,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","13,648,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","11,167,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","5,252,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","10,858,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","14,997,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","18,089,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","9,717,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","3,873,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","4,737,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","8,550,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","12,357,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","17,693,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","4,976,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","3,739,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","5,463,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","11,140,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","9,402,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","2,460,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","2,227,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","1,401,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","1,336,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","1,545,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","MUSTARD","TOTAL","NOT SPECIFIED","1,753,000",""
